coordinate	CB45_CPT0H.sorted.dedup.bam	CB45_CPT2H.sorted.dedup.bam	CB45_CPT4H.sorted.dedup.bam	CEM_CPT0H.sorted.dedup.bam	CEM_CPT2H.sorted.dedup.bam	CEM_CPT4H.sorted.dedup.bam
chr1:1195845-1196102	1.835401	1.501809	1.846600	2.256809	3.217599	4.208687
chr1:1208865-1209753	3.803332	3.951320	2.653077	2.545045	5.089223	10.341974
chr1:1240922-1241238	4.896107	4.497002	4.988200	3.291139	5.720545	7.168690
chr1:1243094-1244112	5.856841	6.221349	4.961540	4.754420	10.956627	18.383385
chr1:1259786-1260543	4.162408	4.913208	3.403264	3.672391	8.484910	14.800635
chr1:1284690-1285341	2.637452	4.042364	2.968054	2.857143	7.621410	11.003479
chr1:1310520-1311041	6.446239	6.094891	5.758157	5.412668	15.318174	23.424339
chr1:1334347-1335230	4.615483	4.251853	4.299672	3.850509	11.020123	17.773359
chr1:1342214-1343147	2.689640	2.275249	2.543281	1.629153	5.523951	7.962027
chr1:1406687-1407602	3.216826	3.029431	2.500695	2.120219	5.821774	9.969889
chr1:1440240-1441084	4.046320	3.554502	2.992208	1.658768	4.898833	9.140149
chr1:1446955-1447991	4.607708	3.911806	2.944834	3.166023	7.165132	9.888898
chr1:1509686-1510530	3.889833	2.826973	2.008193	2.962085	6.106453	9.019248
chr1:1550495-1551494	5.420515	4.952321	4.275462	4.704705	10.549010	16.628874
chr1:1564598-1565193	3.044236	2.801120	2.848597	2.319328	3.846153	5.933802
chr1:1565339-1566122	4.602520	5.399834	3.528368	3.090677	7.368111	11.520317
chr1:1590209-1590930	6.332923	6.740151	3.996333	4.715673	10.295529	17.634237
chr1:1609187-1609907	2.646750	2.704678	2.236346	2.777778	2.911325	3.004535
chr1:1623813-1625030	12.449419	12.815522	9.734969	9.548069	22.944187	36.808479
chr1:1649615-1649901	2.309012	0.674764	1.777883	0.909091	0.672404	0.927644
chr1:1655516-1656205	6.407974	5.449037	4.427935	3.889695	9.768896	17.001865
chr1:1677277-1678474	6.399647	7.020475	5.493961	5.580618	12.210011	21.499327
chr1:1709526-1710641	3.316693	3.131146	2.310557	2.582960	5.915833	7.870412
chr1:1711873-1712006	3.404738	2.374357	4.587740	1.954887	2.891845	2.915452
chr1:1821790-1823242	2.832788	3.709342	3.011626	2.300276	6.542700	7.491426
chr1:1840242-1840873	5.621505	5.310423	3.626205	3.645008	8.533463	14.166047
chr1:1850439-1851223	7.917790	8.525779	6.464026	6.301020	12.681516	21.319242
chr1:1976322-1976487	1.829617	3.721425	2.670775	1.575758	3.846154	7.544836
chr1:2046687-2046920	2.348368	1.355320	0.727431	1.888412	1.485639	5.080144
chr1:2064647-2064897	4.754717	3.719298	2.237288	2.080000	3.769231	6.775510
chr1:2077682-2078253	2.841754	2.519434	3.057378	2.626970	4.513000	5.754316
chr1:2125982-2126847	4.449776	4.096948	2.997943	4.092485	8.025789	12.386456
chr1:2130702-2130968	4.894311	7.386889	4.906333	3.984962	11.350492	12.352309
chr1:2136117-2136321	4.254532	3.181974	2.575607	2.549020	4.430618	9.803922
chr1:2136660-2137147	5.772733	4.827263	3.619532	3.367557	8.213552	12.781294
chr1:2158836-2159527	7.754689	8.022951	5.101916	5.094067	12.217523	18.458902
chr1:2186820-2187828	3.107218	2.889167	2.808044	2.916667	10.130494	17.027048
chr1:2221975-2222422	1.815035	1.962400	1.668373	1.387025	3.871967	3.698123
chr1:2222461-2222617	1.935172	1.461988	2.390265	0.897436	4.561144	1.569859
chr1:2232063-2233096	3.579974	4.076018	2.477562	3.136496	6.888078	8.040776
chr1:2246296-2247025	3.183477	3.345126	1.952989	2.524006	3.693152	6.074859
chr1:2322588-2323690	4.297504	4.967046	3.568243	4.192378	8.847549	15.500574
chr1:2343699-2344519	5.913484	5.220368	4.650682	5.463415	11.491557	16.874067
chr1:2457434-2458375	3.749524	4.828756	4.358868	3.613178	10.381755	13.554837
chr1:2477425-2478705	5.837265	5.770285	4.131356	4.765625	9.435097	15.736608
chr1:2479671-2480135	1.789200	1.814882	1.899474	2.629310	4.641910	4.662210
chr1:2487510-2488063	1.842438	2.189017	1.134030	1.157324	2.955905	3.653541
chr1:2517057-2517231	4.012145	3.024804	2.240405	2.068966	6.741822	5.512550
chr1:2517507-2518546	5.066555	5.876095	3.996672	4.234841	9.532095	14.220895
chr1:2574055-2574995	4.737053	3.527436	3.137396	2.914894	6.444354	10.421189
chr1:2583678-2583890	13.349947	10.592520	12.392070	16.132076	11.338897	13.765884
chr1:2585235-2585637	9.387027	7.244479	10.414031	10.547263	6.984309	9.544116
chr1:2629044-2629313	10.380865	8.152351	8.884129	12.713755	8.864741	10.393749
chr1:2737970-2738111	0.669075	3.110614	0.120207	0.992908	1.363884	0.578955
chr1:2756633-2757232	2.456925	2.548107	2.376843	1.803005	2.889431	3.372969
chr1:2949480-2950104	6.652153	5.369996	4.563233	4.230769	5.454881	6.900837
chr1:3371189-3371630	1.839730	2.108446	2.267574	1.405896	1.569859	3.609607
chr1:3407844-3408247	1.919566	2.133124	1.724355	1.290323	2.385952	5.215982
chr1:3447669-3448264	4.629776	3.715170	3.617718	2.957983	4.460245	5.899503
chr1:3527915-3528490	4.429861	4.851259	3.330877	2.713043	5.183947	6.814552
chr1:3541159-3541868	6.732842	7.942989	5.235352	5.303244	11.283498	18.249331
chr1:3566530-3566847	5.059223	7.139299	5.881409	4.100946	9.706383	16.352282
chr1:3634544-3634866	3.984531	3.595946	2.737130	2.546584	7.107024	6.401319
chr1:3663721-3664096	2.968554	1.871345	1.988701	3.040000	5.794872	6.748299
chr1:3688835-3689414	5.442044	5.969155	3.512778	2.901554	7.904876	11.455359
chr1:3712609-3713381	2.908398	2.999727	1.997892	2.746114	5.305899	7.772021
chr1:3717942-3718193	0.751710	0.489271	2.228375	0.796813	1.685566	1.138304
chr1:3773352-3774257	6.317106	5.408549	3.558386	3.955801	8.032300	11.816440
chr1:3816590-3817615	6.553153	8.267009	6.581232	5.580488	11.144465	18.496765
chr1:3818930-3819161	4.247325	4.404952	3.742021	2.510823	6.743257	6.007598
chr1:3838724-3839135	2.249460	3.500235	3.010433	2.238443	4.304698	8.937881
chr1:4233450-4233608	1.433007	2.775927	1.609097	1.518987	3.042843	5.166623
chr1:4363163-4363367	6.566778	6.793945	7.311399	5.294118	3.205128	4.301721
chr1:4388580-4388751	1.765420	2.257105	1.784121	5.029240	2.024292	2.506266
chr1:4515987-4516270	2.466831	2.231728	1.916512	1.696113	1.494972	1.874955
chr1:4555767-4556245	2.013105	2.055348	2.304801	0.920502	1.247184	0.811203
chr1:4715848-4716259	1.790387	2.774576	1.319642	1.265207	1.824817	1.390337
chr1:6052233-6052921	4.881527	4.283966	3.202601	3.284883	9.503577	15.009491
chr1:6086194-6086480	2.045125	3.373819	1.837146	2.097902	5.782679	7.492507
chr1:6088296-6088499	2.602472	1.469190	2.087334	1.182266	4.357711	1.005328
chr1:6259218-6260101	1.260711	1.331187	1.593182	1.744054	4.312222	5.939861
chr1:6295757-6296326	2.719103	2.774951	1.489381	1.933216	4.731648	7.101610
chr1:6320066-6320411	2.953240	3.203661	2.161631	1.739130	4.236343	7.512570
chr1:6321140-6321289	1.266304	3.061345	1.478785	1.476510	5.291688	4.930831
chr1:6453102-6454149	2.721162	2.530203	2.622505	2.292264	6.134744	11.617254
chr1:6500505-6500665	2.594340	3.070175	2.330508	1.625000	4.086539	4.591837
chr1:6557485-6557700	1.579640	2.121583	1.340165	0.465116	1.162791	3.037494
chr1:6614325-6614748	2.319461	2.156692	1.722963	1.229314	3.227859	5.451826
chr1:6639712-6640314	3.259575	2.418838	2.646545	3.189369	5.047278	8.576853
chr1:6662509-6663365	3.107918	2.356944	2.237447	1.962617	4.942487	6.675567
chr1:6673237-6674033	3.294776	4.033324	3.023592	3.040201	6.474681	10.306635
chr1:6685085-6685803	1.681821	1.588233	1.203909	1.002785	2.517677	3.666648
chr1:6761620-6762220	1.886792	1.812865	1.581921	1.000000	3.717949	5.272109
chr1:6844601-6845591	12.330855	10.295941	8.303372	9.030303	17.715618	31.292515
chr1:7022709-7023004	3.070035	2.557241	3.332376	1.694915	3.520209	4.635075
chr1:7831081-7831791	2.524582	2.322708	1.217474	1.887324	3.169014	3.305548
chr1:7843836-7844397	3.665960	4.127967	3.232726	3.814617	6.204580	9.385572
chr1:8014093-8014586	2.372843	2.918046	2.200296	1.866126	5.734124	5.547047
chr1:8021288-8022034	7.511761	5.691172	4.453128	5.281501	13.533718	18.000765
chr1:8212692-8213466	1.755156	2.017317	1.270092	1.808785	4.099583	4.482413
chr1:8258093-8258251	2.507762	1.776593	1.394550	2.658228	0.730282	2.195815
chr1:8483709-8484396	1.757711	1.762047	1.159549	0.931587	3.247117	3.772688
chr1:8585873-8586217	2.687582	2.702978	2.611352	2.034884	4.528175	4.449454
chr1:8761154-8761899	3.646955	2.920052	2.639063	2.040268	7.950438	6.519655
chr1:8763283-8763597	2.463646	0.838082	1.997193	1.019108	4.409603	4.289614
chr1:8877291-8878254	4.036129	4.153687	2.604854	3.198339	8.487100	13.181597
chr1:8908270-8908434	2.991256	2.674369	3.203803	2.926829	3.400563	3.982080
chr1:8938097-8939451	4.919038	4.483143	3.805423	3.471197	9.416544	13.670756
chr1:9182049-9182398	1.784073	1.910220	1.068428	2.349570	5.951069	5.613707
chr1:9294366-9295273	4.368538	4.506857	3.401043	2.337376	7.484522	11.070359
chr1:9299867-9300169	2.811446	3.369351	2.974520	3.311258	4.393785	3.243682
chr1:9335594-9335881	3.615804	2.078367	2.303195	0.766550	2.278210	2.773235
chr1:9352680-9353729	2.518121	3.244527	2.148939	2.535748	7.607978	11.069823
chr1:9409792-9409972	0.524109	0.487329	0.753296	0.777778	0.747863	1.473923
chr1:9460333-9460677	4.003949	3.314974	2.414269	2.848837	3.130590	2.195064
chr1:9470868-9471344	6.302521	4.865104	4.664577	3.949580	7.595345	7.417252
chr1:9473315-9473875	2.493261	2.788221	2.451574	2.000000	5.563187	3.279883
chr1:9477862-9478074	3.648985	2.317114	3.038056	2.264151	2.086357	0.962649
chr1:9486210-9486822	4.532001	5.876620	3.267974	3.267974	7.195827	8.836868
chr1:9488752-9489328	4.848009	6.122077	5.178908	4.062500	12.453259	15.979309
chr1:9555214-9555716	2.443058	0.838750	1.519346	0.956175	2.949740	3.699488
chr1:9599105-9600101	5.114799	5.196224	4.390443	4.136546	9.460920	15.306122
chr1:9619793-9620109	1.373298	1.943149	1.394550	1.962025	1.643135	3.487471
chr1:9648558-9649195	6.901454	7.105676	5.614241	5.274725	10.928632	21.305225
chr1:9686983-9687574	3.288318	3.176299	2.667125	2.910321	4.815827	8.391173
chr1:9689884-9690100	2.358490	4.304743	2.040176	1.666667	4.985755	3.495843
chr1:9711722-9712572	2.286348	2.518060	2.253240	2.094118	3.257919	3.601440
chr1:9747511-9747783	4.300777	4.579463	3.364905	3.161765	7.635746	8.028211
chr1:9749325-9749860	3.209310	2.918511	2.692856	2.467289	5.823148	8.201410
chr1:9777572-9778102	4.165184	3.707382	2.814199	2.641510	4.898404	3.735079
chr1:9883728-9884571	3.536337	2.976005	2.794700	1.874259	5.292454	8.134214
chr1:9970181-9971189	9.508835	10.164299	8.003766	7.341269	17.876221	30.774214
chr1:10002858-10003632	2.242699	2.175982	1.905137	1.447028	4.944345	6.064442
chr1:10092616-10093520	8.745200	8.403198	7.087146	5.641593	13.487066	23.297815
chr1:10270199-10271038	4.767581	5.750371	3.474677	3.933254	9.305951	15.640583
chr1:10458562-10459538	5.644912	5.877912	4.028897	4.364754	12.216268	17.564402
chr1:10490215-10491053	3.152159	3.077503	2.851826	2.601432	5.461722	9.108178
chr1:10532301-10532846	3.496624	3.959440	3.141035	2.752294	8.539167	11.009174
chr1:10534875-10535232	3.699593	3.243403	2.468784	3.585434	8.726568	9.146516
chr1:10555180-10555343	1.736312	0.861048	0.623895	0.736196	1.887683	3.380493
chr1:10571013-10571442	3.034701	2.985319	2.172968	2.470863	4.124081	4.043575
chr1:10754016-10754975	2.046157	2.213563	2.545024	1.293014	4.592123	6.107553
chr1:10927146-10927431	2.780536	2.154509	2.200416	1.964912	2.901484	5.084139
chr1:10965066-10965299	1.943477	1.882388	1.818579	1.287554	1.403103	2.802838
chr1:10977869-10978499	2.485774	1.670844	1.372074	1.714286	2.960928	3.530936
chr1:10992126-10992485	3.363641	2.590041	2.218970	1.559888	4.231841	3.012904
chr1:10997538-10997689	4.248407	3.253166	3.142889	2.649007	6.749873	4.324909
chr1:11000013-11000520	2.493394	2.837468	1.337211	1.775148	3.413746	3.622751
chr1:11026047-11026188	0.000000	1.119821	1.322274	0.283688	0.954719	3.763207
chr1:11072163-11073304	3.952177	3.228931	2.777819	2.892200	7.028248	10.302456
chr1:11119823-11120508	6.142405	6.735817	5.493010	4.321168	12.857945	19.633547
chr1:11159421-11160188	2.681361	3.179396	3.071620	2.138201	4.162070	5.853711
chr1:11322389-11322969	6.376057	6.442832	5.435418	5.689655	17.506632	25.404644
chr1:11332855-11333866	3.433925	3.678831	2.078828	3.145400	6.010804	8.074446
chr1:11341013-11341162	2.405977	2.472625	0.682516	1.476510	0.774393	0.958773
chr1:11380195-11380380	3.161652	1.706970	1.923958	0.864865	1.247401	1.103144
chr1:11413084-11413419	2.027598	1.990050	2.074374	1.970149	2.525832	2.254036
chr1:11415637-11416036	1.796945	2.066570	1.869080	2.155389	1.397725	3.529232
chr1:11467399-11467910	2.990806	3.433241	1.990116	1.996086	2.709619	2.516075
chr1:11538815-11539840	3.460654	3.423192	2.860686	2.946342	9.981238	16.884022
chr1:11582722-11582918	4.139392	3.132832	3.199585	4.897959	2.845369	1.353603
chr1:11639967-11640216	0.378874	0.140915	0.884896	0.883534	0.849552	2.786657
chr1:11724166-11724493	2.134903	3.326359	1.606800	1.284404	4.351917	4.243900
chr1:11740876-11741852	5.954222	6.830601	4.167824	4.856557	10.876419	14.595181
chr1:11751156-11751851	1.737478	1.186419	1.024265	1.525180	2.462645	1.321392
chr1:11779446-11780004	1.792115	1.226184	1.731365	1.290323	2.481390	2.816180
chr1:11795932-11796582	2.177068	2.510122	2.112125	1.261539	4.763314	6.656201
chr1:11800769-11801117	3.198872	2.571083	1.850770	1.724138	2.652520	2.990851
chr1:11809128-11809442	1.502223	3.184713	1.727302	2.165605	3.674669	3.769660
chr1:11865773-11866557	6.618214	7.451665	6.247838	5.867347	15.158949	23.531862
chr1:11911384-11911562	4.239983	3.055391	2.951819	2.134831	3.997407	5.503325
chr1:11965766-11965905	4.343695	7.068030	1.829045	2.877698	12.451578	11.598885
chr1:11967844-11969861	3.676299	3.270447	2.554558	2.796232	14.072691	18.880333
chr1:11986117-11986802	3.002341	3.098988	2.177409	2.627737	6.288602	8.580367
chr1:11994544-11994913	2.914557	4.136357	2.480364	2.168022	5.472170	6.913335
chr1:12040077-12040760	7.127268	6.318872	5.260937	4.480234	14.247099	20.706963
chr1:12079242-12079682	8.919383	8.732058	6.009245	4.272727	12.412588	19.526901
chr1:12123234-12123410	3.537736	4.784689	2.022342	1.477273	1.857517	1.855288
chr1:12148603-12148982	3.733758	2.777392	1.386342	1.635884	4.312969	3.123149
chr1:12222090-12222290	3.207547	1.929824	0.762712	1.800000	0.961538	1.734694
chr1:12233880-12234064	4.101723	5.816171	3.039794	2.173913	6.584448	6.322094
chr1:12238175-12238478	3.300330	2.373922	3.356268	1.650165	2.284844	1.751196
chr1:12239226-12239563	3.919153	4.581185	2.313534	3.738872	3.309747	4.420759
chr1:12270701-12270940	4.736718	4.624532	2.269343	3.012552	2.011587	1.878576
chr1:12289959-12290416	3.261633	3.531806	2.855765	2.669585	5.512540	9.511901
chr1:12445094-12445514	1.168014	1.169591	1.008878	0.952381	1.419414	1.360544
chr1:12509550-12509727	4.157339	1.585886	2.298190	1.355932	2.064320	1.844806
chr1:12532764-12533670	1.936774	2.982069	1.833352	1.523179	2.483444	1.892148
chr1:12538678-12538853	1.509434	2.506266	2.130751	1.828571	2.417583	1.516035
chr1:12541073-12541275	1.868111	2.692374	1.510321	1.683168	2.475247	1.414427
chr1:12570668-12571259	1.340868	1.454567	1.433939	1.049069	3.384095	2.831589
chr1:12678051-12679125	1.985173	1.845862	1.783291	1.154562	2.954448	3.686391
chr1:12679948-12680186	2.140479	2.358838	1.566728	2.016807	5.494505	3.687189
chr1:13805854-13806139	2.581927	3.324100	1.367826	1.684211	2.226721	2.076620
chr1:13813962-13814216	4.234140	4.420500	2.936074	3.622047	3.558449	2.490760
chr1:13825002-13825591	2.979146	2.174366	2.589854	1.799661	2.546690	2.252174
chr1:13839911-13840244	2.153096	1.317106	1.323357	1.441441	2.136752	2.390145
chr1:13840386-13840611	3.773585	2.729045	3.013183	2.488889	3.675214	5.079365
chr1:14026567-14027179	2.774695	2.751978	1.523208	1.470588	3.519356	4.701881
chr1:14057292-14057890	2.776551	1.994954	1.984015	2.441472	4.502187	2.934953
chr1:14075573-14076485	4.489408	5.482456	3.716919	3.684211	11.070344	15.597029
chr1:14618809-14619545	2.537941	2.645881	1.542926	1.304348	1.410953	1.109139
chr1:14646991-14647870	1.330843	1.417081	1.099092	0.841866	2.319069	1.718093
chr1:14924899-14925028	2.632734	4.215966	2.364998	2.325582	1.788909	2.689448
chr1:15004497-15005020	2.705725	1.979135	2.365752	1.529637	2.500368	2.263238
chr1:15033202-15033518	1.492715	1.776593	2.628191	1.329114	0.669425	1.808318
chr1:15295277-15295963	3.025469	2.506266	1.828334	1.895044	2.382821	2.439460
chr1:15427080-15427515	1.127738	1.411575	0.662381	0.413793	0.884173	2.205020
chr1:15575590-15575849	4.443797	2.506266	2.617630	1.389961	3.341253	2.757860
chr1:15649984-15650252	1.900873	1.440168	0.885403	1.492537	2.152698	2.741395
chr1:15666984-15667163	3.583851	3.038322	2.935328	1.117319	2.148689	3.306350
chr1:15735926-15736645	3.595140	4.660469	3.111667	3.143255	8.237937	10.218274
chr1:15743373-15744269	1.684636	1.566416	1.778148	2.008929	3.176511	4.190962
chr1:15850714-15851893	8.081681	8.749609	5.678469	6.581849	14.402687	23.316196
chr1:15852989-15853583	6.606950	8.063087	6.876677	5.151515	14.050765	25.699169
chr1:15943430-15944552	4.069552	4.002877	3.368682	2.317291	6.975868	10.877078
chr1:16010708-16010854	3.360041	3.965393	2.089622	2.876713	5.663857	5.451496
chr1:16011083-16011566	1.015665	1.162326	0.877285	1.407868	2.030578	2.873199
chr1:16160871-16162807	4.356385	4.694070	3.090419	3.626033	7.877066	12.628606
chr1:16173738-16175016	5.019636	4.983115	3.487971	3.724570	9.555194	13.126377
chr1:16302044-16302940	2.990229	2.584586	2.307809	2.232143	4.786229	7.356960
chr1:16380704-16380852	3.059664	4.623044	2.519469	1.216216	2.988565	1.792609
chr1:16382677-16382871	2.528691	3.617290	2.795737	2.989691	4.956384	7.258573
chr1:16488666-16489220	4.052857	3.736779	2.906443	2.166065	4.304360	6.999189
chr1:16494196-16494764	3.355036	3.366691	3.730007	2.218310	5.857259	7.006323
chr1:16532837-16533778	6.676960	6.543990	5.457592	5.122211	13.324614	18.803270
chr1:16543846-16544295	3.025591	4.024538	2.604658	2.672606	6.510194	8.772328
chr1:16563296-16563917	3.828275	4.181145	2.510986	3.027375	7.184442	9.004568
chr1:16678501-16679485	3.489799	3.654971	3.961692	3.292683	7.133364	8.959682
chr1:16693457-16694490	4.511498	4.908205	3.642509	3.233301	9.196515	13.078609
chr1:16747456-16747967	2.067718	1.579291	1.757936	1.526419	1.430077	1.637446
chr1:16766888-16767590	2.983390	2.024292	2.100536	1.709402	4.958361	5.901505
chr1:16825374-16825975	6.153266	5.867414	5.132689	4.159734	12.223217	19.355495
chr1:16839483-16841155	11.578044	11.678418	9.883626	9.940190	34.804012	47.114540
chr1:16862413-16862617	3.329634	2.149983	2.575607	2.450980	4.147813	1.800720
chr1:16891518-16892187	3.638210	2.360160	3.800258	3.677130	2.932045	3.599646
chr1:16892497-16893853	3.951689	4.010765	3.937303	3.539823	3.020763	3.250858
chr1:16928955-16929307	6.057033	5.283094	4.622496	3.920455	5.463286	3.594620
chr1:16939572-16940452	10.806175	11.742424	8.821264	8.727273	22.049826	25.649351
chr1:16970619-16971775	6.528694	6.176775	5.292944	5.380623	10.996140	11.951839
chr1:16992439-16993969	9.631274	9.941521	8.053617	8.457517	27.463551	38.241962
chr1:17004375-17004859	2.923748	2.392344	1.680908	2.024793	4.489829	7.294653
chr1:17036376-17036594	3.462004	2.816675	2.332452	3.211009	3.793225	5.523310
chr1:17054877-17055302	3.462819	3.054696	2.512463	2.305882	3.393665	3.985594
chr1:17066487-17067975	11.272571	11.519053	8.258156	7.903225	28.574753	43.559357
chr1:17074834-17074988	1.715266	3.531556	2.531367	3.766234	5.619380	3.975616
chr1:17076975-17077260	4.965243	4.863035	3.568243	4.350877	3.036437	5.227354
chr1:17200272-17200561	2.089182	2.063983	2.111313	2.975779	2.927868	2.824659
chr1:17222203-17223443	8.368837	9.026599	6.178239	6.548387	22.549627	34.759708
chr1:17231204-17232361	4.549829	5.276805	3.882044	3.975800	16.621237	21.237190
chr1:17240318-17241044	6.029419	6.113769	5.066069	4.462810	12.555627	17.512789
chr1:17278130-17278326	1.636504	3.222342	1.988931	3.061224	3.237834	3.852561
chr1:17337978-17338702	3.700615	3.150141	2.364454	1.933702	7.304505	7.920848
chr1:17380327-17380997	5.857504	5.420267	3.718694	4.059701	10.246842	18.275967
chr1:17452455-17452659	1.572327	1.031992	1.163177	0.784314	1.319759	2.601040
chr1:17508366-17508669	2.615356	1.910717	1.678134	1.320132	2.602183	2.559440
chr1:17528196-17528427	2.287021	3.341687	1.394086	1.038961	5.744256	6.979415
chr1:17764114-17765132	3.150832	3.843105	2.613966	2.495088	5.100499	7.397458
chr1:17766048-17766530	2.270414	2.729854	2.742809	2.697095	6.064475	9.103227
chr1:18971715-18971953	2.695418	2.063983	0.997009	0.840336	3.959276	4.115932
chr1:18979873-18980089	4.979036	3.330084	2.589454	2.407407	2.047721	3.401360
chr1:19147243-19147398	0.365186	1.131862	1.421542	0.903226	1.861042	2.633311
chr1:19228830-19229660	4.432826	4.164025	4.349602	3.783133	10.518999	16.695354
chr1:19253142-19254409	2.829444	2.783201	2.274156	2.288871	2.944569	3.624181
chr1:19282712-19283724	4.101723	4.906040	3.148657	3.794466	7.867133	11.353554
chr1:19401089-19401289	2.452830	4.736842	2.542373	3.500000	3.653846	3.673469
chr1:19450527-19450979	2.671565	1.746623	1.837408	1.238938	1.191287	1.128770
chr1:19506203-19506738	2.151296	2.098705	1.774117	1.943925	3.306973	3.814610
chr1:19536326-19536452	3.593890	1.670844	2.959376	1.587301	4.273504	4.049239
chr1:19536463-19537207	4.945222	4.881155	3.098232	4.274193	9.925558	15.333552
chr1:19577909-19578543	3.095054	2.711827	2.245629	1.829653	5.884494	6.148201
chr1:19638232-19638953	3.873027	3.868896	3.455652	2.968100	7.868345	12.850632
chr1:19717515-19718006	1.075971	1.214850	0.932031	1.099796	2.702491	2.452305
chr1:19732801-19733004	4.833163	5.531069	3.005761	1.970443	0.947329	2.613853
chr1:19803753-19804053	1.194968	1.286550	1.016949	1.666667	2.628205	1.836735
chr1:19804319-19804713	1.197203	1.291299	1.204508	1.015229	1.561890	3.315032
chr1:19811655-19812571	5.582104	5.630889	4.033751	4.301310	11.273933	16.687462
chr1:19923236-19924115	3.348573	3.931900	2.063207	2.525597	7.482279	9.124469
chr1:19970610-19971063	2.124203	2.362418	1.758521	1.810155	4.415011	4.595215
chr1:19980297-19980478	3.961222	2.810895	3.652027	2.430939	4.887378	7.328899
chr1:19986261-19986542	2.551534	2.871948	2.412691	2.135231	4.174651	6.972184
chr1:20042016-20042387	3.153130	2.600842	1.553292	1.994609	4.820651	5.775896
chr1:20126151-20126291	4.043127	3.007519	2.542373	1.857143	1.510989	2.332361
chr1:20126293-20126738	1.865593	1.813523	2.018663	1.528090	0.821089	1.880303
chr1:20208646-20209294	4.280223	4.737925	3.478761	3.858025	7.537987	10.802469
chr1:20452752-20452892	0.808625	2.756892	0.000000	0.571429	0.274725	0.291545
chr1:20478842-20479051	1.354157	2.686141	1.621928	1.626794	3.036437	3.808222
chr1:20511852-20512016	2.531063	1.925545	1.033485	1.219512	2.814259	4.604280
chr1:20813197-20813348	1.249532	3.136982	1.459199	0.794702	1.018849	1.621841
chr1:20834437-20834773	2.526954	1.200919	1.311542	1.607143	3.777472	4.676870
chr1:20959820-20961177	1.946580	2.210759	1.311467	1.518055	2.990193	4.195930
